,Republicans,Independents,Democrats
,%,%,%
2020 Jul 30-Aug 12,26,41,31
2020 Jul 1-23,28,38,29
2020 Jun 8-30,26,38,33
2020 May 28-Jun 4,25,40,31
2020 May 1-13,28,37,31
2020 Apr 14-28,30,36,31
2020 Apr 1-14,27,39,31
2020 Mar 13-22,30,36,30
2020 Mar 2-13,30,38,30
2020 Feb 17-28,30,39,29
2020 Feb 3-16,33,39,26
2020 Jan 16-29,30,42,27
2020 Jan 2-15,27,45,27
2019 Dec 2-15,28,41,28
2019 Nov 1-14,30,38,31
2019 Oct 14-31,28,39,31
2019 Oct 1-13,26,43,29
2019 Sep 16-30,26,44,29
2019 Sep 3-15,29,38,31
2019 Aug 15-30,26,42,30
2019 Aug 1-14,27,40,29
2019 Jul 15-31,26,41,30
2019 Jul 1-12,29,38,27
2019 Jun 19-30,27,41,29
2019 Jun 3-16,26,46,27
2019 May 15-30,27,45,27
2019 May 1-12,30,38,31
2019 Apr 17-30,29,40,29
2019 Apr 1-9,27,44,26
2019 Mar 1-10,26,42,30
2019 Feb 12-28,30,38,30
2019 Feb 1-10,31,37,30
2019 Jan 21-27,25,41,32
2019 Jan 2-10,25,39,34
2018 Dec 3-12,26,39,32
2018 Nov 1-11,28,39,31
2018 Oct 15-28,29,36,35
2018 Oct 1-10,28,39,30
2018 Sep 4-12,26,44,27
2018 Aug 1-12,28,43,27
2018 Jul 1-11,26,41,30
2018 Jun 1-13,27,43,29
2018 May 1-10,26,43,29
2018 Apr 2-11,24,45,29
2018 Mar 1-8,23,45,29
2018 Feb 1-10,28,42,27
2018 Jan 2-7,22,44,32
2017 Dec 4-11,25,46,27
2017 Nov 2-8,25,42,30
2017 Oct 5-11,24,42,31
2017 Sep 6-10,29,40,30
2017 Aug 2-6,28,41,28
2017 Jul 5-9,25,45,28
2017 Jun 7-11,26,42,30
2017 May 3-7,29,40,28
2017 Apr 5-9,25,44,28
2017 Mar 9-29,24,41,31
2017 Mar 1-5,26,42,30
2017 Feb 1-5,31,37,31
2017 Jan 4-8,28,44,25
2016 Dec 7-11,28,39,29
2016 Nov 9-13,27,40,30
2016 Nov 1-6,27,36,31
2016 Oct 5-9,27,36,32
2016 Sep 14-18,27,40,32
2016 Sep 7-11,29,38,31
2016 Aug 3-7,27,38,31
2016 Jul 13-17,28,42,28
2016 Jun 14-23,28,39,31
2016 Jun 1-5,27,41,30
2016 May 18-22,27,45,28
2016 May 4-8,31,37,30
2016 Apr 6-10,25,44,31
2016 Mar 2-6,26,38,32
2016 Feb 3-7,30,37,30
2016 Jan 21-25,29,39,31
2016 Jan 6-10,26,44,29
2015 Dec 2-6,27,40,30
2015 Nov 4-8,28,39,30
2015 Oct 7-11,25,42,29
2015 Sep 9-13,27,43,27
2015 Aug 5-9,27,41,31
2015 Jul 8-12,23,46,28
2015 Jun 2-7,25,41,31
2015 May 6-10,26,41,30
2015 Apr 9-12,24,42,31
2015 Mar 6-9,27,44,28
2015 Feb 8-11,25,43,29
2015 Jan 5-8,29,42,28
2014 Dec 8-11,27,40,31
2014 Nov 6-9,28,41,28
2014 Oct 29-Nov 2,26,39,32
2014 Oct 12-15,33,35,29
2014 Sep 25-30,26,42,30
2014 Sep 4-7,25,47,26
2014 Aug 7-10,26,40,31
2014 Jul 7-10,23,45,29
2014 Jun 5-8,24,46,28
2014 May 8-11,24,43,31
2014 Apr 24-30,23,43,32
2014 Apr 3-6,25,42,29
2014 Mar 6-9,25,42,30
2014 Feb 6-9,23,45,30
2014 Jan 5-8,24,45,29
2013 Dec 5-8,24,44,30
2013 Nov 7-10,23,46,28
2013 Oct 3-6,20,47,30
2013 Sep 5-8,22,45,31
2013 Aug 7-11,24,43,31
2013 Jul 10-14,25,42,31
2013 Jun 20-24,26,41,31
2013 Jun 1-4,26,41,31
2013 May 2-7,28,39,32
2013 Apr 4-14,26,40,33
2013 Mar 7-10,27,36,35
2013 Feb 7-10,28,38,32
2013 Jan 7-10,27,38,33
2012 Dec 27-30,27,36,34
2012 Dec 19-22,25,35,38
2012 Dec 14-17,25,39,34
2012 Nov 26-29,29,37,31
2012 Nov 15-18,27,38,32
2012 Nov 9-12,28,38,33
2012 Nov 1-4,30,33,35
2012 Sep 24-27,28,38,32
2012 Sep 6-9,27,36,35
2012 Aug 20-22,28,41,31
2012 Aug 9-12,26,42,29
2012 Jul 19-22,28,41,30
2012 Jul 9-12,27,41,30
2012 Jun 7-10,30,39,30
2012 May 10-13,27,44,29
2012 May 3-5,28,38,32
2012 Apr 9-12,29,41,29
2012 Mar 8-11,27,42,30
2012 Feb 16-19,27,43,29
2012 Feb 2-5,27,43,29
2012 Jan 5-8,27,42,30
2011 Dec 15-18,30,42,27
2011 Nov 28-Dec 1,25,45,28
2011 Nov 3-6,27,35,36
2011 Oct 6-9,26,41,31
2011 Sep 15-18,21,46,32
2011 Sep 8-11,25,44,30
2011 Aug 11-14,28,44,26
2011 Aug 4-7,24,42,34
2011 Jul 12-15,25,42,30
2011 Jul 7-10,29,39,30
2011 Jun 9-12,30,38,29
2011 May 5-8,29,37,32
2011 Apr 20-23,31,36,32
2011 Apr 7-11,26,42,30
2011 Mar 25-27,25,40,32
2011 Mar 3-6,29,39,29
2011 Feb 2-5,28,40,31
2011 Jan 14-16,28,42,28
2011 Jan 7-9,29,37,31
2010 Dec 10-12,33,34,32
2010 Nov 19-21,29,40,29
2010 Nov 4-7,26,41,31
2010 Oct 28-31,29,36,32
2010 Oct 21-24,29,34,33
2010 Oct 14-17,30,36,30
2010 Oct 7-10,30,34,33
2010 Sep 30-Oct 3,29,37,30
2010 Sep 23-26,30,34,32
2010 Sep 13-16,30,41,28
2010 Aug 27-30,28,41,30
2010 Aug 5-8,29,40,30
2010 Jul 27-Aug 1,30,37,31
2010 Jul 8-11,26,40,30
2010 Jun 11-13,28,33,36
2010 May 24-25,28,40,30
2010 May 3-6,30,36,32
2010 Apr 8-11,26,42,29
2010 Mar 26-28,28,40,31
2010 Mar 4-7,29,39,30
2010 Feb 1-3,27,40,33
2010 Jan 8-10,28,36,34
2009 Dec 11-13,29,36,33
2009 Oct 16-19,25,41,32
2009 Oct 1-4,27,38,33
2009 Sep 11-13,26,40,33
2009 Aug 31-Sep 2,28,36,35
2009 Aug 6-9,28,35,35
2009 Jul 17-19,26,39,33
2009 Jul 10-12,29,33,37
2009 Jun 14-17,29,37,32
2009 May 29-31,26,37,35
2009 May 7-10,32,34,32
2009 Apr 20-21,27,36,36
2009 Apr 6-9,24,40,35
2009 Mar 27-29,28,35,35
2009 Mar 5-8,25,35,38
2009 Feb 20-22,27,36,34
2009 Feb 9-12,29,36,33
2009 Jan 30-Feb 1,27,35,36
2009 Jan 9-11,30,33,36
2008 Dec 12-14,26,35,37
2008 Dec 4-7,27,33,37
2008 Nov 13-16,26,35,39
2008 Nov 7-9,28,37,33
2008 Oct 23-26,33,32,34
2008 Oct 10-12,30,33,35
2008 Oct 3-5,27,38,33
2008 Sep 26-27,28,35,35
2008 Sep 8-11,32,31,35
2008 Sep 5-7,30,34,35
2008 Aug 21-23,27,37,36
2008 Aug 7-10,31,32,35
2008 Jul 25-27,29,33,36
2008 Jul 10-13,27,35,35
2008 Jun 15-19,30,35,34
2008 Jun 9-12,29,36,33
2008 May 30-Jun1,26,36,37
2008 May 8-11,27,35,37
2008 May 1-3,27,37,36
2008 Apr 18-20,25,38,36
2008 Apr 6-9,26,35,37
2008 Mar 14-16,29,33,38
2008 Mar 6-9,28,37,34
2008 Feb 21-24,29,34,36
2008 Feb 11-14,26,34,40
2008 Feb 8-10,28,34,37
2008 Jan 30-Feb 2,29,36,35
2008 Jan 10-13,28,38,34
2008 Jan 4-6,30,35,34
2007 Dec 14-16,27,39,33
2007 Dec 6-9,30,36,32
2007 Nov 30-Dec 2,28,41,31
2007 Nov 11-14,27,38,33
2007 Nov 2-4,25,41,34
2007 Oct 12-14,24,43,31
2007 Oct 4-7,28,38,32
2007 Sep 14-16,28,38,33
2007 Sep 7-8,26,41,32
2007 Aug 13-16,28,40,30
2007 Aug 3-5,27,43,30
2007 Jul 12-15,29,37,32
2007 Jul 6-8,25,43,31
2007 Jun 11-14,27,38,34
2007 Jun 1-3,31,36,31
2007 May 10-13,27,38,34
2007 May 4-6,27,40,33
2007 Apr 13-15,29,36,34
2007 Apr 2-5,30,36,34
